filing_date,accession,form,file_name,exhibit_type,size_bytes,verified_against
2025-06-05,0001641172-25-013718,8-K,form8-k.htm,8-K,38062,index.json size
2025-06-13,0001641172-25-014970,8-K,form8-k.htm,8-K,40317,index.json size
2025-06-13,0001641172-25-014970,8-K,ex99-1.htm,EX-99.1,15358,index.json size
2025-06-24,0001641172-25-016228,8-K,form8-k.htm,8-K,41364,index.json size
2025-06-24,0001641172-25-016228,8-K,ex99-1.htm,EX-99.1,12244,index.json size
2025-06-24,0001641172-25-016228,8-K,ex99-2.htm,EX-99.2,13324,index.json size
2025-07-01,0001641172-25-017278,8-K,form8-k.htm,8-K,26027,index.json size
2025-07-01,0001641172-25-017278,8-K,ex99-1.htm,EX-99.1,13862,index.json size
2025-07-08,0001641172-25-018094,8-K,form8-k.htm,8-K,38222,index.json size
2025-07-08,0001641172-25-018094,8-K,ex99-1.htm,EX-99.1,17652,index.json size
2025-07-11,0001641172-25-018680,8-K,form8-k.htm,8-K,52198,index.json size
2025-07-11,0001641172-25-018680,8-K,ex99-1.htm,EX-99.1,14361,index.json size
2025-07-15,0001641172-25-019635,8-K,form8-k.htm,8-K,37450,index.json size
2025-07-15,0001641172-25-019635,8-K,ex99-1.htm,EX-99.1,13435,index.json size
2025-07-22,0001641172-25-020521,8-K,form8-k.htm,8-K,39322,index.json size
2025-07-22,0001641172-25-020521,8-K,ex99-1.htm,EX-99.1,22478,index.json size
2025-07-25,0001641172-25-020947,8-K,form8-k.htm,8-K,53864,index.json size
2025-07-25,0001641172-25-020947,8-K,ex99-1.htm,EX-99.1,17700,index.json size
2025-07-29,0001641172-25-021266,8-K,form8-k.htm,8-K,40088,index.json size
2025-07-29,0001641172-25-021266,8-K,ex99-1.htm,EX-99.1,27366,index.json size
2025-08-05,0001641172-25-022149,8-K,form8-k.htm,8-K,40657,index.json size
2025-08-05,0001641172-25-022149,8-K,ex99-1.htm,EX-99.1,28992,index.json size
2025-08-08,0001641172-25-022680,8-K,form8-k.htm,8-K,33738,index.json size
2025-08-08,0001641172-25-022680,8-K,ex99-1.htm,EX-99.1,16828,index.json size
2025-08-12,0001641172-25-023115,8-K,form8-k.htm,8-K,49945,index.json size
2025-08-12,0001641172-25-023115,8-K,ex99-1.htm,EX-99.1,15972,index.json size
2025-08-15,0001641172-25-024278,8-K,form8-k.htm,8-K,37808,index.json size
2025-08-15,0001641172-25-024278,8-K,ex99-1.htm,EX-99.1,42486,index.json size
2025-08-19,0001641172-25-024734,8-K,form8-k.htm,8-K,27081,index.json size
2025-08-19,0001641172-25-024734,8-K,ex99-1.htm,EX-99.1,28372,index.json size
2025-08-22,0001641172-25-025218,8-K,form8-k.htm,8-K,39957,index.json size
2025-08-22,0001641172-25-025218,8-K,ex99-1.htm,EX-99.1,14430,index.json size
2025-08-26,0001641172-25-025469,8-K,form8-k.htm,8-K,40712,index.json size
2025-08-26,0001641172-25-025469,8-K,ex99-1.htm,EX-99.1,29360,index.json size
2025-09-02,0001493152-25-012518,8-K,form8-k.htm,8-K,41377,index.json size
2025-09-02,0001493152-25-012518,8-K,ex99-1.htm,EX-99.1,29388,index.json size
2025-09-09,0001493152-25-012846,8-K,form8-k.htm,8-K,39165,index.json size
2025-09-09,0001493152-25-012846,8-K,ex99-1.htm,EX-99.1,17359,index.json size
2025-09-16,0001493152-25-013634,8-K,form8-k.htm,8-K,40049,index.json size
2025-09-16,0001493152-25-013634,8-K,ex99-1.htm,EX-99.1,20679,index.json size
2025-09-25,0001493152-25-014866,8-K,form8-k.htm,8-K,36159,index.json size
2025-09-25,0001493152-25-014866,8-K,ex99-1.htm,EX-99.1,21060,index.json size
2025-10-17,0001493152-25-018379,8-K,form8-k.htm,8-K,38087,index.json size
2025-10-17,0001493152-25-018379,8-K,ex99-1.htm,EX-99.1,17143,index.json size
2025-10-21,0001493152-25-018731,8-K,form8-k.htm,8-K,39561,index.json size
2025-10-21,0001493152-25-018731,8-K,ex99-1.htm,EX-99.1,23620,index.json size
2025-10-28,0001493152-25-019828,8-K,form8-k.htm,8-K,35664,full submission .txt
2025-10-28,0001493152-25-019828,8-K,ex99-1.htm,EX-99.1,26881,full submission .txt
2025-11-12,0001493152-25-022012,8-K,form8-k.htm,8-K,38019,index.json size
2025-11-12,0001493152-25-022012,8-K,ex99-1.htm,EX-99.1,30315,index.json size
2025-11-13,0001493152-25-022065,8-K/A,form8-ka.htm,8-K/A,40258,index.json size
2025-11-13,0001493152-25-022065,8-K/A,ex99-1.htm,EX-99.1,31157,index.json size
2025-12-17,0001493152-25-028063,8-K,form8-k.htm,8-K,60448,index.json size
2025-12-17,0001493152-25-028063,8-K,ex99-1.htm,EX-99.1,21191,index.json size
2026-02-03,0001493152-26-004839,8-K,form8-k.htm,8-K,44666,index.json size
2026-02-03,0001493152-26-004839,8-K,ex99-1.htm,EX-99.1,10921,index.json size
2026-02-19,0001493152-26-007427,8-K,form8-k.htm,8-K,40092,index.json size
2026-02-19,0001493152-26-007427,8-K,ex99-1.htm,EX-99.1,18101,index.json size
2026-03-09,0001493152-26-009305,8-K,form8-k.htm,8-K,37099,index.json size
2026-03-09,0001493152-26-009305,8-K,ex99-1.htm,EX-99.1,44462,index.json size
2026-05-11,0001493152-26-022140,8-K,form8-k.htm,8-K,40214,index.json size
2026-05-11,0001493152-26-022140,8-K,ex99-1.htm,EX-99.1,83136,index.json size
2026-05-11,0001493152-26-022140,8-K,ex99-2.htm,EX-99.2,25020,index.json size
2026-06-23,0001493152-26-029804,8-K,form8-k.htm,8-K,52408,index.json size
2026-06-23,0001493152-26-029804,8-K,ex99-1.htm,EX-99.1,18059,index.json size
2026-06-30,0001493152-26-031202,8-K,form8-k.htm,8-K,40482,index.json size
2026-06-30,0001493152-26-031202,8-K,ex99-1.htm,EX-99.1,16387,index.json size
2026-08-10,0001493152-26-036741,8-K,form8-k.htm,8-K,38493,index.json size
2026-08-10,0001493152-26-036741,8-K,ex99-1.htm,EX-99.1,154903,index.json size
