form,filing_date,report_date,accession_number,primary_document_url,items,description
8-K,2025-06-05,2025-06-04,0001641172-25-013718,https://www.sec.gov/Archives/edgar/data/1981535/000164117225013718/form8-k.htm,"8.01,9.01",8-K
S-3ASR,2025-06-12,,0001641172-25-014878,https://www.sec.gov/Archives/edgar/data/1981535/000164117225014878/forms-3asr.htm,,S-3ASR
8-K,2025-06-13,2025-06-13,0001641172-25-014970,https://www.sec.gov/Archives/edgar/data/1981535/000164117225014970/form8-k.htm,"7.01,8.01",8-K
8-K,2025-06-24,2025-06-23,0001641172-25-016228,https://www.sec.gov/Archives/edgar/data/1981535/000164117225016228/form8-k.htm,"7.01,8.01",8-K
8-K,2025-07-01,2025-07-01,0001641172-25-017278,https://www.sec.gov/Archives/edgar/data/1981535/000164117225017278/form8-k.htm,"7.01,8.01",8-K
DEF 14A,2025-07-03,2024-12-31,0001641172-25-017811,https://www.sec.gov/Archives/edgar/data/1981535/000164117225017811/formdef14a.htm,,DEF 14A
8-K,2025-07-08,2025-07-08,0001641172-25-018094,https://www.sec.gov/Archives/edgar/data/1981535/000164117225018094/form8-k.htm,"7.01,8.01",8-K
8-K,2025-07-09,2025-07-07,0001641172-25-018312,https://www.sec.gov/Archives/edgar/data/1981535/000164117225018312/form8-k.htm,"4.01,9.01",8-K
8-K,2025-07-11,2025-07-07,0001641172-25-018680,https://www.sec.gov/Archives/edgar/data/1981535/000164117225018680/form8-k.htm,"1.01,7.01,9.01",8-K
8-K,2025-07-15,2025-07-15,0001641172-25-019635,https://www.sec.gov/Archives/edgar/data/1981535/000164117225019635/form8-k.htm,"7.01,8.01,9.01",8-K
424B5,2025-07-17,,0001641172-25-020052,https://www.sec.gov/Archives/edgar/data/1981535/000164117225020052/form424b5.htm,,424B5
8-K,2025-07-17,2025-07-17,0001641172-25-020054,https://www.sec.gov/Archives/edgar/data/1981535/000164117225020054/form8-k.htm,"1.01,9.01",8-K
8-K,2025-07-22,2025-07-22,0001641172-25-020521,https://www.sec.gov/Archives/edgar/data/1981535/000164117225020521/form8-k.htm,"7.01,8.01,9.01",8-K
8-K,2025-07-25,2025-07-24,0001641172-25-020947,https://www.sec.gov/Archives/edgar/data/1981535/000164117225020947/form8-k.htm,"5.02,7.01,9.01",8-K
8-K,2025-07-25,2025-07-24,0001641172-25-020953,https://www.sec.gov/Archives/edgar/data/1981535/000164117225020953/form8-k.htm,"5.02,5.03,5.07,9.01",8-K
8-K/A,2025-07-28,2025-07-24,0001641172-25-021111,https://www.sec.gov/Archives/edgar/data/1981535/000164117225021111/form8-ka.htm,5.07,8-K/A
8-K,2025-07-29,2025-07-29,0001641172-25-021266,https://www.sec.gov/Archives/edgar/data/1981535/000164117225021266/form8-k.htm,"7.01,8.01,9.01",8-K
8-K,2025-08-05,2025-08-05,0001641172-25-022149,https://www.sec.gov/Archives/edgar/data/1981535/000164117225022149/form8-k.htm,"7.01,8.01,9.01",8-K
S-8,2025-08-07,,0001641172-25-022485,https://www.sec.gov/Archives/edgar/data/1981535/000164117225022485/forms-8.htm,,S-8
424B5,2025-08-08,,0001641172-25-022677,https://www.sec.gov/Archives/edgar/data/1981535/000164117225022677/form424b5.htm,,424B5
8-K,2025-08-08,2025-08-06,0001641172-25-022680,https://www.sec.gov/Archives/edgar/data/1981535/000164117225022680/form8-k.htm,"1.01,8.01,9.01",8-K
424B5,2025-08-12,,0001641172-25-023114,https://www.sec.gov/Archives/edgar/data/1981535/000164117225023114/form424b5.htm,,424B5
8-K,2025-08-12,2025-08-10,0001641172-25-023115,https://www.sec.gov/Archives/edgar/data/1981535/000164117225023115/form8-k.htm,"1.01,8.01,9.01",8-K
10-Q,2025-08-14,2025-06-30,0001641172-25-024107,https://www.sec.gov/Archives/edgar/data/1981535/000164117225024107/form10-q.htm,,10-Q
8-K,2025-08-15,2025-08-15,0001641172-25-024278,https://www.sec.gov/Archives/edgar/data/1981535/000164117225024278/form8-k.htm,"2.02,9.01",8-K
8-K,2025-08-19,2025-08-19,0001641172-25-024734,https://www.sec.gov/Archives/edgar/data/1981535/000164117225024734/form8-k.htm,"7.01,8.01,9.01",8-K
424B5,2025-08-20,,0001641172-25-024922,https://www.sec.gov/Archives/edgar/data/1981535/000164117225024922/form424b5.htm,,424B5
8-K,2025-08-20,2025-08-19,0001641172-25-024925,https://www.sec.gov/Archives/edgar/data/1981535/000164117225024925/form8-k.htm,"1.01,9.01",8-K
8-K,2025-08-22,2025-08-21,0001641172-25-025218,https://www.sec.gov/Archives/edgar/data/1981535/000164117225025218/form8-k.htm,"1.01,7.01,9.01",8-K
8-K,2025-08-22,2025-08-19,0001641172-25-025235,https://www.sec.gov/Archives/edgar/data/1981535/000164117225025235/form8-k.htm,"5.02,9.01",8-K
S-8,2025-08-25,,0001641172-25-025404,https://www.sec.gov/Archives/edgar/data/1981535/000164117225025404/forms-8.htm,,S-8
